genericId,watsonChatId,responseType,responseText
null,f4072451-028a-4820-93f4-c2cf56fb8f08,text, Hi there, I am TRM's virtual assistant! 👋🏽 
null,f4072451-028a-4820-93f4-c2cf56fb8f08,pause,1000
null,f4072451-028a-4820-93f4-c2cf56fb8f08,text,I'm here to assist you with your Maximo related questions
null,f4072451-028a-4820-93f4-c2cf56fb8f08,pause,1000
null,f4072451-028a-4820-93f4-c2cf56fb8f08,text,Please select an option or type your question below
null,f4072451-028a-4820-93f4-c2cf56fb8f08,option,"Work Order" "Purchase Order" "Preventive Maintenance" "Service Request" "User Access" "Reports" "What is Maximo" 
null,e27d6fc1-c6a5-46d4-b09d-9c956bc316d3,text, Hi there, I am TRM's virtual assistant! 👋🏽 
null,e27d6fc1-c6a5-46d4-b09d-9c956bc316d3,pause,1000
null,e27d6fc1-c6a5-46d4-b09d-9c956bc316d3,text,I'm here to assist you with your Maximo related questions
null,e27d6fc1-c6a5-46d4-b09d-9c956bc316d3,pause,1000
null,e27d6fc1-c6a5-46d4-b09d-9c956bc316d3,text,Please select an option or type your question below
null,e27d6fc1-c6a5-46d4-b09d-9c956bc316d3,option,"Work Order" "Purchase Order" "Preventive Maintenance" "Service Request" "User Access" "Reports" "What is Maximo" 
null,db991b91-f31c-422d-bc54-0a75ce26c8c2,text, Hi there, I am TRM's virtual assistant! 👋🏽 
null,db991b91-f31c-422d-bc54-0a75ce26c8c2,pause,1000
null,db991b91-f31c-422d-bc54-0a75ce26c8c2,text,I'm here to assist you with your Maximo related questions
null,db991b91-f31c-422d-bc54-0a75ce26c8c2,pause,1000
null,db991b91-f31c-422d-bc54-0a75ce26c8c2,text,Please select an option or type your question below
null,db991b91-f31c-422d-bc54-0a75ce26c8c2,option,"Work Order" "Purchase Order" "Preventive Maintenance" "Service Request" "User Access" "Reports" "What is Maximo" 
null,a17ba239-7f6a-4bf9-a60c-f5482d2881d9,text, Hi there, I am TRM's virtual assistant! 👋🏽 
null,a17ba239-7f6a-4bf9-a60c-f5482d2881d9,pause,1000
null,a17ba239-7f6a-4bf9-a60c-f5482d2881d9,text,I'm here to assist you with your Maximo related questions
null,a17ba239-7f6a-4bf9-a60c-f5482d2881d9,pause,1000
null,a17ba239-7f6a-4bf9-a60c-f5482d2881d9,text,Please select an option or type your question below
null,a17ba239-7f6a-4bf9-a60c-f5482d2881d9,option,"Work Order" "Purchase Order" "Preventive Maintenance" "Service Request" "User Access" "Reports" "What is Maximo" 
